"Reef","Site","Plot","Colony","Habitat","Depth","Cross_shelf","Taxa","Days_2022c","Area_cm_2021","Area_cm_2022","log_2021","log_2022","log10_2021","log10_2022","Note_2021","Note_2022"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_33","BA_S","Shallow","offshore","Pver",-125,45.20709,64.15535,3.81125393294427,4.16130748586947,1.65520655220976,1.80723287861581,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_34","BA_S","Shallow","offshore","Menc",-125,392.46758,373.32225,5.97245393508489,5.92244198768035,2.59380378742873,2.5720838746417,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_35","BA_S","Shallow","offshore","Acor",-125,58.36241,76.22961,4.06667201820977,4.33374996989107,1.76613321721886,1.88212369787208,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_36","BA_S","Shallow","offshore","Acor",-125,151.28687,182.31104,5.01917783579926,5.20571423936824,2.17980123777872,2.26081296852281,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_37","BA_S","Shallow","offshore","Acor",-125,165.84174,228.88556,5.111033960113,5.43322214065233,2.2196938456972,2.35961839463988,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_38","BA_S","Shallow","offshore","Adgt",-125,82.33103,99.87233,4.41074807186004,4.60389267031232,1.91556354867422,1.99944518199147,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_39","BA_S","Shallow","offshore","Pmas",-125,17.5364,22.78826,2.86427872072443,3.12624549106684,1.24394044304353,1.35771116584525,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_40","BA_S","Shallow","offshore","Pmas",-125,57.0092,60.16421,4.04321265831918,4.09707765724629,1.7559449466694,1.77933821847116,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_41","BA_S","Shallow","offshore","Pmas",-125,19.43208,25.84846,2.96692530861194,3.25225102471172,1.28851928974927,1.4124346737965,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_42","BA_S","Shallow","offshore","Gspp",-125,46.43196,44.88474,3.83798801522656,3.80409787061083,1.66681701662371,1.6520987138262,"o",NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_43","BA_S","Shallow","offshore","Gspp",-125,24.57729,23.54478,3.20182284582207,3.15890413984214,1.39053399397229,1.37189463679478,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_44","BA_S","Shallow","offshore","Pmas",-125,53.47001,60.20783,3.97912093598138,4.09780241030205,1.72811026532242,1.77965297472403,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_45","BA_S","Shallow","offshore","Pmas",-125,32.70827,30.38888,3.48762795112686,3.4140767520212,1.51465757410594,1.48271469419699,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_46","BA_S","Shallow","offshore","Pmas",-125,29.34411,38.15847,3.37909184470389,3.64174775143666,1.46752094199918,1.58159095293252,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_47","BA_S","Shallow","offshore","Pmas",-125,108.48414,125.77628,4.68660398718068,4.8345047732288,2.03536625049835,2.0995987457482,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_48","BA_S","Shallow","offshore","Pmas",-125,64.35476,66.14204,4.16441090178043,4.19180455074294,1.80858067502098,1.8204775856046,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_49","BA_S","Shallow","offshore","Pmas",-125,29.53061,36.89731,3.3854273525015,3.60813864866017,1.47027241807574,1.56699470505497,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_50","BA_S","Shallow","offshore","Pmas",-125,34.8271,44.86409,3.55039581935534,3.80363769747288,1.5419173129184,1.65189886317166,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_51","BA_S","Shallow","offshore","Spis",-125,63.84627,71.36772,4.15647816260456,4.2678456662768,1.80513553017053,1.85350182247872,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_52","BA_S","Shallow","offshore","Pmas",-125,33.96103,43.37135,3.52521369078297,3.76979908487032,1.53098085343684,1.63720294044311,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_53","BA_S","Shallow","offshore","Gspp",-125,32.49338,28.54581,3.4810363762799,3.35151016526165,1.51179488952285,1.45554237081579,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_54","BA_S","Shallow","offshore","Pmas",-125,36.92458,35.32348,3.60887745394517,3.56454789862854,1.56731556411344,1.54806348285421,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_55","BA_S","Shallow","offshore","Menc",-125,24.88254,21.67842,3.2141663526923,3.07631729568692,1.39589471089337,1.33602762610036,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_56","BA_S","Shallow","offshore","Pmas",-125,32.47877,35.90625,3.48058664511828,3.58091137504903,1.51159957376102,1.55517005036838,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_57","BA_S","Shallow","offshore","Abra",-125,242.23472,142.07674,5.48990717344615,4.9563673341608,2.38423639158874,2.15252298351157,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_58","BA_S","Shallow","offshore","Pmas",-125,95.22741,86.24867,4.55626782052433,4.45723463550272,1.97876197252707,1.93575240674688,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_59","BA_S","Shallow","offshore","Pmas",-125,75.0239,79.23432,4.31780672943954,4.37240953829194,1.87519963652032,1.89891333510133,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_60","BA_S","Shallow","offshore","Pmas",-125,128.36299,140.98428,4.85486210983137,4.94864839480107,2.10843982470094,2.14917069074149,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_61","BA_S","Shallow","offshore","Pmas",-125,23.32257,29.03638,3.14942156124198,3.36854952653905,1.36777640523452,1.46294247139372,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_62","BA_S","Shallow","offshore","Gspp",-125,66.24125,68.21542,4.1933033806719,4.22267063899947,1.82112851917206,1.83388255741235,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_63","BA_S","Shallow","offshore","Pver",-125,102.20183,113.68987,4.62694958367583,4.73347430268007,2.00945867223496,2.0557217698848,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_64","BA_S","Shallow","offshore","Acor",-125,25.89176,37.65376,3.25392477136794,3.62843281645738,1.4131615727334,1.57580835014412,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_65","BA_S","Shallow","offshore","Adgt",-125,65.93207,79.17218,4.18862496956848,4.37162497448695,1.81909671104577,1.89857260337013,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_66","BA_S","Shallow","offshore","Menc",-125,13.44494,14.13252,2.59860282708536,2.64847852474409,1.12855886846136,1.15021960873562,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_67","BA_S","Shallow","offshore","Acor",-125,386.265,323.56369,5.95652366240935,5.77939597246104,2.58688535791053,2.50995977957371,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_68","BA_S","Shallow","offshore","Acor",-125,29.98409,36.95177,3.40066690765236,3.60961354881796,1.47689087278442,1.56763524605485,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_69","BA_S","Shallow","offshore","Adgt",-125,326.02927,335.93451,5.78698716261232,5.81691623025136,2.51325659156749,2.52625462049163,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_70","BA_S","Shallow","offshore","Pmas",-125,65.42812,81.3497,4.18095213547175,4.39875714588935,1.815764441537,1.91035595569224,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_71","BA_S","Shallow","offshore","Pver",-125,63.35063,58.9518,4.14868485146908,4.07672016086836,1.80175093814863,1.77049707012887,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_72","BA_S","Shallow","offshore","Pver",-125,154.42474,168.44821,5.03970685791534,5.1266283434975,2.18871687880261,2.22646640034977,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_73","BA_S","Shallow","offshore","Acor",-125,98.89693,88.34914,4.59407819669085,4.48129646470588,1.99518281025488,1.94620232639431,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P1","OCCH_BA1S_P1_74","BA_S","Shallow","offshore","Gspp",-125,42.5459,45.90127,3.75058349314994,3.82649278552904,1.62885771499244,1.66182470179787,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_75","BA_S","Shallow","offshore","Adgt",-125,231.05538,268.9022,5.44265742204843,5.59434774472146,2.36371608528541,2.42959435538043,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_76","BA_S","Shallow","offshore","Pmas",-125,61.78424,64.89053,4.12364831576026,4.17270169626808,1.79087770884432,1.81218132131757,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_77","BA_S","Shallow","offshore","Acor",-125,1447.21823,1572.44077,7.27739853074028,7.36038432172848,3.16053402451133,3.19657429561389,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_78","BA_S","Shallow","offshore","Pmas",-125,84.38262,79.86059,4.435361456226,4.38028248953666,1.92625300568532,1.90233251438321,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_79","BA_S","Shallow","offshore","Pmas",-125,61.72162,68.84274,4.12263427472017,4.23182477299168,1.79043731641618,1.83785814729177,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_80","BA_S","Shallow","offshore","Gspp",-125,66.58499,82.92421,4.19847917677012,4.417927058107,1.82337633885697,1.91868134278694,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_81","BA_S","Shallow","offshore","Menc",-125,91.89769,122.00979,4.52067589302832,4.80410128741537,1.96330459481525,2.0863946796288,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_82","BA_S","Shallow","offshore","Acor",-125,236.09014,74.61757,5.46421368125414,4.31237600226678,2.37307784970893,1.87284110167647,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_83","BA_S","Shallow","offshore","Acor",-125,393.03541,430.93897,5.97389970959151,6.06596647914932,2.59443167931903,2.63441576930464,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_84","BA_S","Shallow","offshore","Acor",-125,366.35997,497.71531,5.90361637464811,6.2100282468943,2.56390801478336,2.69698100008952,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_85","BA_S","Shallow","offshore","Pmas",-125,286.23462,307.88792,5.65681182416734,5.72973582064342,2.45672216040094,2.48839264966884,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_86","BA_S","Shallow","offshore","Gspp",-125,47.98537,55.11637,3.8708961727828,4.00944676822328,1.68110884785999,1.7412806069242,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_87","BA_S","Shallow","offshore","Lobo_sp",-125,86.39598,79.21626,4.45894114694978,4.3721815807789,1.93649353525165,1.89881433441131,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_88","BA_S","Shallow","offshore","Pmas",-125,18.80002,19.55492,2.93385793366512,2.9732269171738,1.27415831127884,1.2912560435748,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_89","BA_S","Shallow","offshore","Pver",-125,56.83229,95.21003,4.04010465011569,4.5560852933905,1.75459515585691,1.97868270200005,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_90","BA_S","Shallow","offshore","Menc",-125,130.897,146.71818,4.87441075439501,4.98851360385106,2.11692969316362,2.16648393105182,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_91","BA_S","Shallow","offshore","Pmas",-125,51.4769,53.82872,3.94113316335456,3.98580715372801,1.71161238529079,1.73101405279458,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_92","BA_S","Shallow","offshore","Pver",-125,217.40577,225.27802,5.38176551527327,5.41733528386855,2.33727106618039,2.3527188204039,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_93","BA_S","Shallow","offshore","Pmas",-125,90.27312,87.30484,4.50283974169051,4.46940590231678,1.95555845271085,1.941038320762,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_94","BA_S","Shallow","offshore","Pmas",-125,143.7113,137.9705,4.96780642604065,4.9270398941896,2.15749091799297,2.13978623816373,"pm","pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_95","BA_S","Shallow","offshore","Pmas",-125,74.70278,83.75041,4.31351730697507,4.42784106621558,1.87333676401345,1.92298694180204,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_96","BA_S","Shallow","offshore","Gspp",-125,60.52105,66.66921,4.10299123840614,4.19974322715223,1.78190645413717,1.82392530896277,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_97","BA_S","Shallow","offshore","Pmas",-125,72.72724,77.26836,4.28671600486946,4.34728455744175,1.86169710640116,1.88800169456017,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_98","BA_S","Shallow","offshore","Pmas",-125,52.74361,54.78992,3.96544262757769,4.0035062354288,1.72216985146092,1.73870066631199,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_99","BA_S","Shallow","offshore","Pmas",-125,56.70431,55.7261,4.03785022195413,4.02044861887074,1.7536160701465,1.74605864995111,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_100","BA_S","Shallow","offshore","Pmas",-125,27.33673,32.25432,3.30823121916816,3.47365198775919,1.4367465633448,1.50858789033608,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_101","BA_S","Shallow","offshore","Pmas",-125,48.89022,46.29652,3.88957737647816,3.83506679628034,1.68922199154019,1.66554834735494,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_102","BA_S","Shallow","offshore","Spis",-125,87.47129,114.81324,4.47131062523658,4.74330680824581,1.94186553141563,2.05999197279528,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_103","BA_S","Shallow","offshore","Adgt",-125,54.75333,63.77709,4.00283818876484,4.15539403495307,1.73841053733218,1.80466469951381,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_104","BA_S","Shallow","offshore","Pmas",-125,14.09475,16.3922,2.64580238762268,2.79680561193586,1.14905737715098,1.21463724421979,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_105","BA_S","Shallow","offshore","Spis",-125,25.23166,25.23166,3.22809955517745,3.22809955517745,1.40194582384791,1.40194582384791,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_106","BA_S","Shallow","offshore","Pdam",-125,202.49704,219.43103,5.31072526915581,5.39103796901662,2.30641867929853,2.34129804167483,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_107","BA_S","Shallow","offshore","Adgt",-125,207.29998,204.76778,5.3341669229632,5.32187655656985,2.31659926019376,2.31126162188856,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_108","BA_S","Shallow","offshore","Spis",-125,13.37631,17.75216,2.59348523191111,2.87650719865863,1.12633632511657,1.24925120353242,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_109","BA_S","Shallow","offshore","Pver",-125,159.8704,170.22177,5.07436348700657,5.13710211630282,2.2037680615783,2.23101510208383,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_110","BA_S","Shallow","offshore","Pmas",-125,52.99123,48.14589,3.97012642816206,3.87423577634546,1.72420400020905,1.68255921925899,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_111","BA_S","Shallow","offshore","Gspp",-125,41.62879,41.2541,3.72879199520676,3.71975050178083,1.61939378768331,1.61546711698027,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_112","BA_S","Shallow","offshore","Pmas",-125,76.43765,79.87887,4.33647537583304,4.38051136222823,1.88330732663362,1.90243191253022,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_113","BA_S","Shallow","offshore","Pmas",-125,167.70046,192.92398,5.12217941181884,5.26229622530105,2.22453425387137,2.28538621278856,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_114","BA_S","Shallow","offshore","Pmas",-125,273.0794,281.99545,5.60976259538932,5.64189093605617,2.43628893996485,2.45024210102917,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_115","BA_S","Shallow","offshore","Menc",-125,70.29377,63.71818,4.25268317469047,4.15446992217317,1.84691683605087,1.80426336243284,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_116","BA_S","Shallow","offshore","Pmas",-125,54.01836,53.87243,3.98932398877737,3.98661884426985,1.73254139485028,1.73136656551791,"pm","pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_117","BA_S","Shallow","offshore","Pmas",-125,40.92328,39.25508,3.71169909427381,3.67008086260509,1.61197043512841,1.59389586676812,NA,"pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_118","BA_S","Shallow","offshore","Pmas",-125,102.77879,114.50158,4.63257900877636,4.74058862202572,2.01190350049241,2.05881147951911,"pm","pm"
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_119","BA_S","Shallow","offshore","Menc",-125,66.00539,57.21977,4.18973640535855,4.04689946804031,1.81957940147638,1.75754610778711,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_120","BA_S","Shallow","offshore","Pmas",-125,95.49357,97.24372,4.559058915377,4.57722040457797,1.97997412962005,1.98786156416318,NA,NA
"OCCH","OCCH_BA1S","OCCH_BA1S_P2","OCCH_BA1S_P2_121","BA_S","Shallow","offshore","Pmas",-125,85.6779,87.31105,4.4505949160352,4.46947702986425,1.93286881322075,1.94106921106338,NA,NA
